iter	Passed	Remaining
0	154	154541
1	156	78243
2	158	52779
3	160	40027
4	162	32375
5	164	27220
6	165	23530
7	168	20919
8	170	18773
9	172	17038
10	173	15632
11	175	14471
12	177	13481
13	179	12635
14	181	11894
15	183	11293
16	185	10707
17	186	10181
18	188	9710
19	189	9289
20	190	8901
21	192	8555
22	193	8234
23	197	8039
24	199	7792
25	201	7538
26	202	7299
27	203	7075
28	205	6864
29	206	6667
30	207	6483
31	209	6331
32	213	6243
33	214	6105
34	216	5969
35	218	5838
36	219	5714
37	221	5596
38	222	5485
39	224	5385
40	226	5300
41	228	5202
42	229	5106
43	230	5013
44	231	4923
45	233	4835
46	234	4752
47	235	4675
48	237	4609
49	239	4542
50	241	4493
51	243	4431
52	244	4368
53	245	4305
54	247	4250
55	248	4194
56	250	4140
57	251	4089
58	253	4041
59	255	3997
60	257	3959
61	258	3914
62	260	3869
63	261	3824
64	262	3782
65	264	3743
66	266	3705
67	267	3667
68	269	3636
69	271	3607
70	272	3570
71	274	3534
72	275	3499
73	277	3466
74	278	3435
75	279	3403
76	281	3372
77	282	3343
78	285	3325
79	286	3295
80	287	3266
81	289	3238
82	289	3203
83	291	3177
84	293	3156
85	294	3133
86	296	3109
87	298	3089
88	300	3077
89	302	3055
90	303	3033
91	305	3010
92	306	2988
93	307	2966
94	309	2945
95	310	2926
96	312	2905
97	314	2891
98	315	2871
99	316	2851
100	318	2832
101	319	2814
102	321	2798
103	323	2783
104	324	2766
105	325	2749
106	327	2733
107	329	2725
108	331	2709
109	332	2693
110	334	2677
111	335	2661
112	337	2645
113	338	2630
114	339	2616
115	341	2603
116	343	2595
117	345	2580
118	346	2565
119	347	2551
120	349	2539
121	350	2524
122	352	2511
123	353	2499
124	355	2487
125	357	2477
126	358	2466
127	360	2453
128	361	2443
129	363	2432
130	364	2420
131	366	2409
132	367	2397
133	369	2389
134	371	2379
135	373	2373
136	376	2372
137	379	2369
138	381	2366
139	383	2358
140	385	2350
141	388	2345
142	390	2338
143	392	2331
144	393	2322
145	395	2311
146	396	2301
147	397	2290
148	399	2280
149	401	2274
150	403	2268
151	405	2259
152	406	2250
153	407	2240
154	409	2231
155	410	2221
156	412	2212
157	413	2203
158	415	2196
159	418	2194
160	418	2182
161	420	2174
162	421	2165
163	423	2156
164	424	2148
165	426	2141
166	427	2133
167	430	2131
168	432	2126
169	434	2120
170	435	2113
171	437	2105
172	438	2097
173	440	2089
174	441	2082
175	443	2074
176	445	2070
177	447	2066
178	449	2060
179	451	2057
180	453	2051
181	455	2045
182	457	2042
183	459	2037
184	462	2038
185	466	2039
186	468	2035
187	470	2030
188	472	2025
189	474	2024
190	477	2021
191	481	2026
192	486	2032
193	489	2034
194	492	2035
195	497	2039
196	503	2050
197	505	2047
198	506	2040
199	509	2037
200	511	2033
201	513	2028
202	529	2078
203	531	2073
204	539	2091
205	542	2092
206	545	2091
207	549	2091
208	551	2086
209	553	2081
210	555	2076
211	557	2071
212	562	2078
213	565	2077
214	567	2072
215	569	2067
216	571	2062
217	573	2056
218	575	2053
219	577	2048
220	579	2042
221	581	2036
222	582	2031
223	584	2024
224	586	2020
225	589	2018
226	591	2015
227	593	2010
228	597	2010
229	600	2011
230	603	2008
231	607	2010
232	608	2004
233	610	1998
234	612	1992
235	613	1985
236	614	1978
237	616	1975
238	620	1975
239	622	1971
240	624	1966
241	626	1962
242	628	1958
243	630	1953
244	633	1952
245	635	1947
246	639	1948
247	641	1946
248	643	1940
249	644	1934
250	648	1936
251	651	1933
252	653	1928
253	655	1925
254	657	1920
255	659	1915
256	662	1916
257	665	1914
258	667	1910
259	669	1906
260	671	1901
261	673	1897
262	676	1894
263	678	1891
264	680	1886
265	682	1882
266	684	1878
267	685	1873
268	688	1869
269	690	1868
270	693	1864
271	696	1864
272	699	1863
273	701	1858
274	702	1853
275	706	1853
276	709	1851
277	710	1846
278	712	1841
279	713	1835
280	715	1830
281	716	1825
282	719	1823
283	721	1819
284	723	1815
285	725	1812
286	727	1807
287	729	1803
288	731	1800
289	736	1802
290	738	1799
291	744	1803
292	746	1800
293	747	1796
294	749	1791
295	751	1787
296	753	1782
297	757	1783
298	759	1781
299	762	1778
300	764	1775
301	766	1771
302	768	1768
303	771	1767
304	774	1765
305	778	1765
306	780	1762
307	782	1757
308	786	1757
309	788	1754
310	789	1749
311	791	1745
312	795	1745
313	796	1741
314	800	1741
315	802	1737
316	805	1736
317	809	1735
318	813	1737
319	817	1736
320	818	1732
321	821	1728
322	823	1725
323	824	1721
324	827	1719
325	830	1716
326	832	1713
327	834	1709
328	836	1705
329	838	1701
330	840	1697
331	842	1695
332	844	1692
333	846	1688
334	848	1684
335	850	1680
336	852	1676
337	855	1675
338	859	1676
339	861	1672
340	863	1668
